id,id_umf,UMF,FLONA,UPA,COD_UPA,id_upa,Conces,Processo,Contrato,Ano_POA,status,AUTEX,Safra,Vol_IF,Vol_Aut,Vol_Exp,Rev_AUTEX,n_arv_inv,n_arv_aut,area_upa,n_UT,n_arv_exp
"133",ALT4,"4",Altamira,"7",4G,ATM04-07,Patauá Florestal SPE LTDA,02018.002205/2015-51,04/2015,"2023",Explorando,1015.2.2023.08657,2023-2024,129361.7204000000,60404.2987000000,,,"19464","8266",3001.954093870000,"28",
"134",ALT4,"4",Altamira,"8",4H,ATM04-08,Patauá Florestal SPE LTDA,02018.000912/2017-74,03/2015,"2024",Aguarda POA,,,,,,,,,,,
"135",ALT4,"4",Altamira,"10",4J,ATM04-10,Patauá Florestal SPE LTDA,02018.002205/2015-51,04/2015,"2026",Exploração Futura,,,,,,,,,,,
"136",ALT4,"4",Altamira,"9",4I,ATM04-09,Patauá Florestal SPE LTDA,02018.002205/2015-51,04/2015,"2025",Exploração Futura,,,,,,,,,,,
"137",CXN1,"1",Caxiuanã,"5","5",CXN01-05,Benevides Madeiras LTDA,02018.102808/2017-13,01/2015,"2023",Explorando,1015.2.2023.10120,2023-2024,122873.3000000000,49570.0804000000,39397.64000000000,,"24870","8885",2143.754600000000,"19","7445"
"138",ALT2,"2",Altamira,"6",2F,ATM02-06,RRX Mineração e Serviços LTDA,02018.000387/2016-14,03/2013,"2023",Explorando,1015.2.2023.11403,2023-2024,232323.1759000000,66331.1644000000,,,"44084","21691",4042.917500000000,"39",
"139",S-T1A,1A,Saracá-Taquera,"9","9",SCQ1A-09,EBATA Produtos Florestais LTDA,02018.002432/2014-03,02/2014,"2023",Explorando,1015.2.2023.08870,2023-2024,40834.6881000000,24287.0001000000,,"1","11267","5739",1011.000000000000,"4",
"140",S-T2,"2",Saracá-Taquera,"12","12",SCQ02-12,EBATA Produtos Florestais LTDA,02018.000225/2011-63,01/2009,"2023",Explorando,1015.2.2023.11062,2023-2024,53463.3338000000,27806.6766000000,,"1","12462","5112",1178.000000000000,"3",
"141",CXN2,"2",Caxiuanã,"4","4",CXN02-04,Benevides Madeiras LTDA,02018.102810/2017-92,02/2015,"2023",Explorada,1015.2.2023.11774,2023-2024,243478.8707000000,71879.9524400000,,,"51256","13368",3556.240000000000,"31",
"142",CRP2,"2",Crepori,"2",2A,CRP02-01,Brasadoc Timber Com de Madeiras LTDA,02018.000303/2015-53,03/2014,"2023",Explorando,1015.2.2023.13948,2023-2024,263502.3511000001,71560.2498000000,,,"35807","7838",3599.873500000000,"29",
